# Format: emoji<TAB>search keywords
😀	grinning face smile happy
😃	grinning big eyes happy joy
😄	grinning smiling eyes happy
😁	beaming smile grin
😆	grinning squint laugh
😅	grinning sweat awkward laugh
😂	tears of joy lol laugh
🤣	rolling on floor laughing rofl
😊	smiling blush shy
😇	smiling halo angel innocent
🙂	slightly smiling
🙃	upside down silly
😉	wink
😌	relieved calm
😍	heart eyes love
🥰	smiling hearts in love
😘	blowing kiss
😗	kissing
😙	kissing smiling eyes
😚	kissing closed eyes
😋	yum tongue delicious
😛	tongue playful
😝	tongue squinting
😜	wink tongue
🤪	zany silly
🤨	raised eyebrow skeptical
🧐	monocle inspect
🤓	nerd glasses
😎	cool sunglasses
🥸	disguise glasses mustache
🤩	star struck wow
🥳	party celebration
😏	smirk smug
😒	unamused annoyed
😞	disappointed sad
😔	pensive sad
😟	worried
😕	confused
🙁	slightly frowning
☹️	frowning
😣	persevere
😖	confounded
😫	tired
😩	weary exhausted
🥺	pleading eyes
😢	cry tear sad
😭	loudly crying sob
😤	steam from nose angry
😠	angry mad
😡	pouting rage
🤬	swear symbols over mouth
🤯	exploding head mind blown
😳	flushed embarrassed
🥵	hot face
🥶	cold face
😱	scream fear
😨	fearful
😰	anxious sweat
😥	sad but relieved
😓	downcast sweat
🤗	hugging
🤔	thinking hmm
🫡	salute respectful
🤭	hand over mouth oops
🫢	open eyes hand over mouth shocked
🤫	shushing quiet
🤥	lying long nose
😶	no mouth
🫠	melting face
🫥	dotted line face invisible
😐	neutral
🫤	diagonal mouth unsure
😑	expressionless
😬	grimacing
🙄	eye roll
😮‍💨	exhale relief
😮‍💨	sigh
😴	sleeping zzz
🤤	drooling
😪	sleepy
😵	dizzy
🫨	shaking face
🤐	zipper mouth
🥴	woozy
🤢	nauseated
🤮	vomiting
🤧	sneezing
😷	medical mask sick
🤒	thermometer sick
🤕	head bandage injured
🤑	money mouth rich
🤠	cowboy
💀	skull death
☠️	skull crossbones danger
👻	ghost
👽	alien
👾	alien monster
🤖	robot
💩	poop pile
🙈	see no evil monkey
🙉	hear no evil monkey
🙊	speak no evil monkey
💬	speech bubble
💭	thought bubble
❤️	red heart love
🧡	orange heart
💛	yellow heart
💚	green heart
💙	blue heart
💜	purple heart
🖤	black heart
🤍	white heart
🤎	brown heart
🩶	gray heart
🩷	pink heart
🩵	light blue heart
💔	broken heart
❣️	heart exclamation
💕	two hearts
💞	revolving hearts
💓	beating heart
💗	growing heart
💖	sparkling heart
💘	heart with arrow
💝	heart with ribbon
👍	thumbs up yes ok
👎	thumbs down no
👌	ok hand perfect
🤌	pinched fingers
🤏	pinching hand tiny
✌️	victory peace
🤞	crossed fingers luck
🫶	heart hands
🤟	love you hand
🤘	rock on horns
🤙	call me hand
👋	waving hello
👏	clapping applause
🙌	raising hands celebrate
👐	open hands
🤝	handshake deal
🙏	folded hands pray thanks
✍️	writing hand
💪	flexed biceps strong
🫵	pointing at you
👉	point right
👈	point left
☝️	point up
👇	point down
🎉	party popper celebration
🎊	confetti ball
🎈	balloon
🎂	birthday cake
🍰	shortcake dessert
🍕	pizza
🍔	burger
🌮	taco
🍜	ramen
☕	coffee
🍺	beer
🍷	wine
🍎	apple
🍓	strawberry
🍒	cherries
🌶️	hot pepper
🌭	hotdog
🌍	earth europe africa globe
🌎	earth americas globe
🌏	earth asia australia globe
🌙	crescent moon
⭐	star
✨	sparkles
⚡	high voltage lightning
🔥	fire lit
💧	droplet water
☀️	sun
⛅	sun behind cloud
☁️	cloud
🌧️	rain cloud
❄️	snowflake
🎵	music note
🎶	multiple music notes
📌	pushpin pin
📎	paperclip
📍	round pushpin location
📷	camera
📸	camera flash
💻	laptop computer
🖥️	desktop computer
⌨️	keyboard
🖱️	mouse
📱	mobile phone
🔋	battery
🔌	electric plug
🧠	brain
👀	eyes
🚀	rocket
🛸	flying saucer
✅	check mark
❌	cross mark
⚠️	warning
❓	question mark
❗	exclamation mark
